Pack;dt;Roll;Pitch;Yaw;q0;q1;q2;q3;Gyro_x;Gyro_y;Gyro_z;Accel_x;Accel_y;Accel_z;Mag_x;Mag_y;Mag_z;Alti;VVel;dt_Baro;Baro;Temp
261259;0.00199778564274;10.4459996644;3.52893027952;-73.9015777981;-0.0911343693733;-0.792471528053;0.599497139454;0.0302374530584;25.157037735;-15.5197696686;11.6292848587;0.049560546875;0.25927734375;-0.98095703125;-0.17929688096;33.6380844116;-10.2328128815;0;0;0;0;0
261260;0.00199778564274;10.4017799363;3.49998886188;-73.9305474148;-0.090668104589;-0.792382061481;0.59968650341;0.0302268397063;24.6695384979;-15.1229925156;11.6899032593;0.048583984375;0.26318359375;-0.9794921875;-0.17929688096;33.6380844116;-10.2328128815;0;0;0;0;0
261261;0.00199778564274;10.3587563655;3.47180942871;-73.9594258501;-0.0902141779661;-0.792291104794;0.599875628948;0.0302170272917;23.9663486481;-14.4816265106;11.8582286835;0.048828125;0.260498046875;-0.98486328125;-0.17929688096;33.6380844116;-10.2328128815;0;0;0;0;0
261262;0.00199778564274;10.3169802691;3.44495233174;-73.9883580231;-0.0897758677602;-0.792197585106;0.60006570816;0.0302045401186;23.4333496094;-14.2681026459;12.2698631287;0.03955078125;0.262451171875;-0.984130859375;-0.717187523842;33.4582023621;-8.671875;0;0;0;0;0
261263;0.00199778564274;10.2763579936;3.41824825484;-74.01797821;-0.0893461629748;-0.792098879814;0.600260317326;0.0301974173635;23.1259040833;-13.9929561615;12.8661842346;0.02392578125;0.25830078125;-0.992431640625;-0.717187523842;33.4582023621;-8.671875;0;0;0;0;0
261264;0.00199778564274;10.2360564918;3.3915895992;-74.0486570934;-0.0889186561108;-0.791994035244;0.600462377071;0.0301923211664;22.9428482056;-13.5807666779;13.4920740128;0.017822265625;0.25732421875;-0.9990234375;-0.717187523842;33.4582023621;-8.671875;0;0;0;0;0
261265;0.0019978096243;10.1959761654;3.36568525742;-74.0804186273;-0.0884963944554;-0.791882634163;0.600672125816;0.0301838293672;22.958114624;-13.3517589569;13.8279514313;0.01171875;0.256103515625;-1.00927734375;-0.717187523842;33.4582023621;-8.671875;0;0;0;0;0
261266;0.00199778564274;10.1557072786;3.34007319509;-74.1127793177;-0.0880742296576;-0.791767835617;0.600886046886;0.0301725827157;23.5225505829;-13.1990146637;13.9960832596;0.011474609375;0.264404296875;-1.00219726562;-0.717187523842;33.4582023621;-8.671875;0;0;0;0;0
261267;0.00199778564274;10.1147666325;3.31481285725;-74.1454128228;-0.0876492261887;-0.791651785374;0.60110193491;0.030155364424;24.089838028;-13.0467281342;13.8729162216;0.01806640625;0.2646484375;-0.99462890625;0.537890613079;35.0771484375;-9.88593769073;0;0;0;0;0
261268;0.00199778564274;10.0728449298;3.29010282804;-74.1777804877;-0.0872204378247;-0.791537463665;0.601316034794;0.0301287472248;24.3794631958;-12.6955108643;13.7967729568;0.00390625;0.265380859375;-0.9970703125;0.537890613079;35.0771484375;-9.88593769073;0;0;0;0;0
